common name	species name	evidence	ERP (y/n)	maximum life span (anAge)	estimated upper age of acyclicity onset	% life acyclic (using max life-span)	population (captive or wild)	indicator	n	reference	year	link	Order*	Excluded
Senegal bushbaby	Galago senegalensis	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
colugos 	Galeopterus variegatus	NA	NA	NA	NA	NA	NA	NA	NA	NA et al.	NA	NA	Dermoptera	n
Short-finned pilot whale	Globicephala macrorhynchus	morphological	y	NA	NA	NA	wild	corpora lutea	>10 (>10)	Elis et al.	2018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110730/pdf/41598_2018_Article_31047.pdf	Cetacea	n
gorilla	Gorilla gorilla	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Afghanistan	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Haiti	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Japan	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Less DC	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Less DR	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Niger	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien PNG	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Somalia	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Sweden	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien Sweden 1751	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapien USA	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapiens !Kung	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
human	Homo sapiens Ache	demographics	y	NA	NA	NA	captive	PrR (fecundity)	>60	Levitis et al.	2011	https://doi.org/10.1111/j.2041-210X.2011.00095.x	Primates	n
